completion,prompt
" If: None
you: None
change: State
jobs: State
Your: None
workplace: Finance
pension: Finance
still: None
belongs: None
to: None
you: None
.: None

###","If you change jobs Your workplace pension still belongs to you .

###

"
" A: None
friend: Person
or: None
family: Person
member: Person
can: None
call: None
for: None
you: None
-: None
you: None
must: None
be: None
with: None
them: None
when: None
they: Event
call: Event
.: None

###","A friend or family member can call for you - you must be with them when they call .

###

"
" If: None
you: None
cannot: None
do: None
it: None
at: None
the: None
same: None
time: None
your: None
dependants: Person
can: None
apply: None
to: None
extend: None
or: None
switch: None
their: None
visas: Misc
at: None
a: None
later: None
date: None
.: None

###","If you cannot do it at the same time your dependants can apply to extend or switch their visas at a later date .

###

"
" You: None
get: None
relief: None
at: None
source: None
in: None
all: None
personal: None
and: None
stakeholder: Finance
pensions: Finance
and: None
some: None
workplace: Finance
pensions: Finance
.: None

###","You get relief at source in all personal and stakeholder pensions and some workplace pensions .

###

"
" Write: None
a: None
witness: Contact
statement: Contact
giving: None
details: None
of: None
your: None
assets: None
and: None
debts: Finance
.: None

###","Write a witness statement giving details of your assets and debts .

###

"
" If: None
you: None
already: None
paid: Event
tax: Event
on: None
your: None
savings: Finance
income: Finance
You: None
can: None
reclaim: None
tax: None
paid: None
on: None
your: None
savings: Finance
interest: Finance
if: None
it: None
was: None
below: None
your: None
allowance: Finance
.: None

###","If you already paid tax on your savings income You can reclaim tax paid on your savings interest if it was below your allowance .

###

"
" You: None
have: None
to: None
put: None
the: None
terms: None
and: None
conditions: None
for: None
these: None
in: None
a: None
separate: None
document: Contact
.: None

###","You have to put the terms and conditions for these in a separate document .

###

"
" Otherwise: None
you: None
can: None
appeal: None
by: None
post: None
using: None
form: None
SA370: None
or: None
by: None
letter: Contact
.: None

###","Otherwise you can appeal by post using form SA370 or by letter .

###

"
" They: None
may: None
be: None
able: None
to: None
get: None
Maternity: Finance
Allowance: Finance
instead: None
.: None

###","They may be able to get Maternity Allowance instead .

###

"
" What: None
you: None
do: None
if: None
you: None
want: None
to: None
leave: None
a: None
workplace: Finance
pension: Finance
depends: None
on: None
whether: None
you: None
’: None
ve: None
been: None
‘: None
automatically: None
enrolled: None
’: None
in: None
it: None
or: None
not: None
.: None

###","What you do if you want to leave a workplace pension depends on whether you ’ ve been ‘ automatically enrolled ’ in it or not .

###

"
" You: None
may: None
need: None
to: None
provide: None
additional: None
documents: Contact
depending: None
on: None
your: None
circumstances: None
.: None

###","You may need to provide additional documents depending on your circumstances .

###

"
" Change: Event
your: None
tax: Form
code: Form
if: None
it: None
': None
s: None
wrong: None
.: None

###","Change your tax code if it ' s wrong .

###

"
" Use: None
form: Form
64: Form
-: Form
8: Form
to: None
get: None
authorisation: Event
if: None
you: None
’: None
re: None
a: None
paid: None
agent: Person
.: None

###","Use form 64 - 8 to get authorisation if you ’ re a paid agent .

###

"
" Taking: None
on: None
people: Person
to: None
help: None
If: None
you: None
take: None
on: None
agency: Person
workers: Person
or: None
freelancers: None
you: None
have: None
some: None
responsibilities: None
for: None
example: None
their: None
health: None
and: None
safety: None
.: None

###","Taking on people to help If you take on agency workers or freelancers you have some responsibilities for example their health and safety .

###

"
" You: None
cannot: None
use: None
your: None
personal: None
Government: Misc
Gateway: Misc
ID: Misc
.: None

###","You cannot use your personal Government Gateway ID .

###

"
" With: None
this: None
scheme: None
you: None
can: None
buy: None
up: None
to: None
25: None
%: None
of: None
your: None
home: None
.: None

###","With this scheme you can buy up to 25 % of your home .

###

"
" You: None
’: None
ll: None
get: None
the: None
same: None
pay: None
and: None
contractual: Misc
benefits: Misc
.: None

###","You ’ ll get the same pay and contractual benefits .

###

"
" If: None
all: None
your: None
gains: Finance
qualify: None
for: None
Entrepreneurs: None
’: None
Relief: None
Work: None
out: None
the: None
gain: None
for: None
all: None
qualifying: Finance
assets: Finance
.: None

###","If all your gains qualify for Entrepreneurs ’ Relief Work out the gain for all qualifying assets .

###

"
" Deducting: None
costs: None
You: None
can: None
deduct: None
costs: None
of: None
buying: None
selling: Event
or: None
improving: None
your: None
property: None
from: None
your: None
gain: None
.: None

###","Deducting costs You can deduct costs of buying selling or improving your property from your gain .

###

"
" Download: None
and: None
fill: None
in: None
form: Form
SSCS1: Form
and: None
send: None
it: None
to: None
the: None
address: None
on: None
the: None
form: None
.: None

###","Download and fill in form SSCS1 and send it to the address on the form .

###

"
" Find: None
full: State
or: State
part: State
-: State
time: State
jobs: None
in: None
England: Location
Scotland: Location
and: None
Wales: Location
.: None

###","Find full or part - time jobs in England Scotland and Wales .

###

"
" Online: None
security: None
If: None
you: None
’: None
re: None
going: None
to: None
sell: None
online: None
protect: None
your: None
customers: Person
and: None
business: Organization
with: None
measures: None
to: None
keep: None
systems: None
and: None
data: None
safe: None
from: None
theft: None
or: None
hackers: Person
.: None

###","Online security If you ’ re going to sell online protect your customers and business with measures to keep systems and data safe from theft or hackers .

###

"
" For: None
example: None
they: None
can: None
call: None
witnesses: Person
and: None
give: None
evidence: None
.: None

###","For example they can call witnesses and give evidence .

###

"
" Carbon: None
price: None
support: None
rates: None
The: None
CPS: None
rates: None
of: None
CCL: Organization
encourage: None
industry: None
to: None
use: None
low: None
carbon: None
technology: None
for: None
producing: None
electricity: None
.: None

###","Carbon price support rates The CPS rates of CCL encourage industry to use low carbon technology for producing electricity .

###

"
" Court: Organization
Funds: Organization
Office: Organization
enquiries: Organization
@: Organization
CFO: Organization
.: Organization
gsi: Organization
.: Organization
gov: Organization
.: Organization
uk: Organization
Court: Organization
Funds: Organization
Office: Organization
Sunderland: None
SR43: None
3AB: None
Check: None
the: None
value: None
of: None
the: None
ETIF: None
on: None
the: None
Financial: Organization
Times: Organization
website: None
.: None

###","Court Funds Office enquiries @ CFO . gsi . gov . uk Court Funds Office Sunderland SR43 3AB Check the value of the ETIF on the Financial Times website .

###

"
" You: None
can: None
get: None
legal: Form
advice: Form
for: None
example: None
from: None
a: None
solicitor: Person
.: None

###","You can get legal advice for example from a solicitor .

###

"
" Your: None
solicitor: Person
can: None
help: None
with: None
the: None
form: None
.: None

###","Your solicitor can help with the form .

###

"
" You: None
can: None
pay: None
the: None
fees: None
by: None
cash: None
postal: None
order: None
or: None
a: None
building: Organization
society: Organization
bank: Organization
or: None
solicitor: Person
’: None
s: None
cheque: None
made: None
payable: None
to: None
‘: None
HM: Organization
Courts: Organization
and: Organization
Tribunals: Organization
Service: Organization
’: None
.: None

###","You can pay the fees by cash postal order or a building society bank or solicitor ’ s cheque made payable to ‘ HM Courts and Tribunals Service ’ .

###

"
